caso,threads,repeticao,thread,operacoes
01-baseline-sequencial,1,1,0,200
01-baseline-sequencial,1,2,0,200
01-baseline-sequencial,1,3,0,200
01-baseline-sequencial,1,4,0,200
01-baseline-sequencial,1,5,0,200
01-baseline-sequencial,1,6,0,200
01-baseline-sequencial,1,7,0,200
01-baseline-sequencial,1,8,0,200
01-baseline-sequencial,1,9,0,200
01-baseline-sequencial,1,10,0,200
02-worker-cpu,1,1,0,400000000
02-worker-cpu,1,2,0,400000000
02-worker-cpu,1,3,0,400000000
02-worker-cpu,1,4,0,400000000
02-worker-cpu,1,5,0,400000000
02-worker-cpu,1,6,0,400000000
02-worker-cpu,1,7,0,400000000
02-worker-cpu,1,8,0,400000000
02-worker-cpu,1,9,0,400000000
02-worker-cpu,1,10,0,400000000
02-worker-cpu,2,1,0,200000000
02-worker-cpu,2,1,1,200000000
02-worker-cpu,2,2,0,200000000
02-worker-cpu,2,2,1,200000000
02-worker-cpu,2,3,0,200000000
02-worker-cpu,2,3,1,200000000
02-worker-cpu,2,4,0,200000000
02-worker-cpu,2,4,1,200000000
02-worker-cpu,2,5,0,200000000
02-worker-cpu,2,5,1,200000000
02-worker-cpu,2,6,0,200000000
02-worker-cpu,2,6,1,200000000
02-worker-cpu,2,7,0,200000000
02-worker-cpu,2,7,1,200000000
02-worker-cpu,2,8,0,200000000
02-worker-cpu,2,8,1,200000000
02-worker-cpu,2,9,0,200000000
02-worker-cpu,2,9,1,200000000
02-worker-cpu,2,10,0,200000000
02-worker-cpu,2,10,1,200000000
02-worker-cpu,4,1,0,100000000
02-worker-cpu,4,1,1,100000000
02-worker-cpu,4,1,2,100000000
02-worker-cpu,4,1,3,100000000
02-worker-cpu,4,2,0,100000000
02-worker-cpu,4,2,1,100000000
02-worker-cpu,4,2,2,100000000
02-worker-cpu,4,2,3,100000000
02-worker-cpu,4,3,0,100000000
02-worker-cpu,4,3,1,100000000
02-worker-cpu,4,3,2,100000000
02-worker-cpu,4,3,3,100000000
02-worker-cpu,4,4,0,100000000
02-worker-cpu,4,4,1,100000000
02-worker-cpu,4,4,2,100000000
02-worker-cpu,4,4,3,100000000
02-worker-cpu,4,5,0,100000000
02-worker-cpu,4,5,1,100000000
02-worker-cpu,4,5,2,100000000
02-worker-cpu,4,5,3,100000000
02-worker-cpu,4,6,0,100000000
02-worker-cpu,4,6,1,100000000
02-worker-cpu,4,6,2,100000000
02-worker-cpu,4,6,3,100000000
02-worker-cpu,4,7,0,100000000
02-worker-cpu,4,7,1,100000000
02-worker-cpu,4,7,2,100000000
02-worker-cpu,4,7,3,100000000
02-worker-cpu,4,8,0,100000000
02-worker-cpu,4,8,1,100000000
02-worker-cpu,4,8,2,100000000
02-worker-cpu,4,8,3,100000000
02-worker-cpu,4,9,0,100000000
02-worker-cpu,4,9,1,100000000
02-worker-cpu,4,9,2,100000000
02-worker-cpu,4,9,3,100000000
02-worker-cpu,4,10,0,100000000
02-worker-cpu,4,10,1,100000000
02-worker-cpu,4,10,2,100000000
02-worker-cpu,4,10,3,100000000
02-worker-cpu,8,1,0,50000000
02-worker-cpu,8,1,1,50000000
02-worker-cpu,8,1,2,50000000
02-worker-cpu,8,1,3,50000000
02-worker-cpu,8,1,4,50000000
02-worker-cpu,8,1,5,50000000
02-worker-cpu,8,1,6,50000000
02-worker-cpu,8,1,7,50000000
02-worker-cpu,8,2,0,50000000
02-worker-cpu,8,2,1,50000000
02-worker-cpu,8,2,2,50000000
02-worker-cpu,8,2,3,50000000
02-worker-cpu,8,2,4,50000000
02-worker-cpu,8,2,5,50000000
02-worker-cpu,8,2,6,50000000
02-worker-cpu,8,2,7,50000000
02-worker-cpu,8,3,0,50000000
02-worker-cpu,8,3,1,50000000
02-worker-cpu,8,3,2,50000000
02-worker-cpu,8,3,3,50000000
02-worker-cpu,8,3,4,50000000
02-worker-cpu,8,3,5,50000000
02-worker-cpu,8,3,6,50000000
02-worker-cpu,8,3,7,50000000
02-worker-cpu,8,4,0,50000000
02-worker-cpu,8,4,1,50000000
02-worker-cpu,8,4,2,50000000
02-worker-cpu,8,4,3,50000000
02-worker-cpu,8,4,4,50000000
02-worker-cpu,8,4,5,50000000
02-worker-cpu,8,4,6,50000000
02-worker-cpu,8,4,7,50000000
02-worker-cpu,8,5,0,50000000
02-worker-cpu,8,5,1,50000000
02-worker-cpu,8,5,2,50000000
02-worker-cpu,8,5,3,50000000
02-worker-cpu,8,5,4,50000000
02-worker-cpu,8,5,5,50000000
02-worker-cpu,8,5,6,50000000
02-worker-cpu,8,5,7,50000000
02-worker-cpu,8,6,0,50000000
02-worker-cpu,8,6,1,50000000
02-worker-cpu,8,6,2,50000000
02-worker-cpu,8,6,3,50000000
02-worker-cpu,8,6,4,50000000
02-worker-cpu,8,6,5,50000000
02-worker-cpu,8,6,6,50000000
02-worker-cpu,8,6,7,50000000
02-worker-cpu,8,7,0,50000000
02-worker-cpu,8,7,1,50000000
02-worker-cpu,8,7,2,50000000
02-worker-cpu,8,7,3,50000000
02-worker-cpu,8,7,4,50000000
02-worker-cpu,8,7,5,50000000
02-worker-cpu,8,7,6,50000000
02-worker-cpu,8,7,7,50000000
02-worker-cpu,8,8,0,50000000
02-worker-cpu,8,8,1,50000000
