caso,threads,repeticao,operacoes,concluidas,ms,throughput,saldo_inicial,movimentos,esperado,observado,divergencia,perdido,percentual_perdido,erros_total,erros_por_sqlstate,ops_por_thread,extra,falhou,erro
01-baseline-sequencial,1,1,200,200,96.166,2079.729,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,2,200,200,103.116,1939.558,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,3,200,200,99.806,2003.888,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,4,200,200,94.968,2105.982,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,5,200,200,93.876,2130.478,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,6,200,200,111.059,1800.839,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,7,200,200,82.894,2412.706,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,8,200,200,92.109,2171.330,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,9,200,200,96.137,2080.366,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
01-baseline-sequencial,1,10,200,200,112.036,1785.140,10000,-200,9800,9800,0,0,0,0,{},[200],"{""workers"":0,""saquesEfetivados"":200,""saquesRegistrados"":200}",nao,
02-worker-cpu,1,1,400000000,400000000,1040.446,384450452.783,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1011.75,""msDaThreadMaisRapida"":1011.75,""rodadasPorSegundo"":384450453}",nao,
02-worker-cpu,1,2,400000000,400000000,1042.225,383794408.888,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1013.22,""msDaThreadMaisRapida"":1013.22,""rodadasPorSegundo"":383794409}",nao,
02-worker-cpu,1,3,400000000,400000000,1049.014,381310555.763,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1019.93,""msDaThreadMaisRapida"":1019.93,""rodadasPorSegundo"":381310556}",nao,
02-worker-cpu,1,4,400000000,400000000,1052.925,379894209.872,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1023.67,""msDaThreadMaisRapida"":1023.67,""rodadasPorSegundo"":379894210}",nao,
02-worker-cpu,1,5,400000000,400000000,1098.341,364185538.875,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1068.78,""msDaThreadMaisRapida"":1068.78,""rodadasPorSegundo"":364185539}",nao,
02-worker-cpu,1,6,400000000,400000000,1053.961,379520729.363,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1024.05,""msDaThreadMaisRapida"":1024.05,""rodadasPorSegundo"":379520729}",nao,
02-worker-cpu,1,7,400000000,400000000,1041.637,384011120.962,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1012.69,""msDaThreadMaisRapida"":1012.69,""rodadasPorSegundo"":384011121}",nao,
02-worker-cpu,1,8,400000000,400000000,1092.776,366040124.175,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1062.84,""msDaThreadMaisRapida"":1062.84,""rodadasPorSegundo"":366040124}",nao,
02-worker-cpu,1,9,400000000,400000000,1096.699,364730763.159,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1059.13,""msDaThreadMaisRapida"":1059.13,""rodadasPorSegundo"":364730763}",nao,
02-worker-cpu,1,10,400000000,400000000,1036.677,385848150.907,0,0,0,0,0,0,0,0,{},[400000000],"{""workers"":1,""rodadasPorThread"":400000000,""msDaThreadMaisLenta"":1007.64,""msDaThreadMaisRapida"":1007.64,""rodadasPorSegundo"":385848151}",nao,
02-worker-cpu,2,1,400000000,400000000,537.600,744047677.176,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":506,""msDaThreadMaisRapida"":505.84,""rodadasPorSegundo"":744047677}",nao,
02-worker-cpu,2,2,400000000,400000000,538.116,743333863.677,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":507.01,""msDaThreadMaisRapida"":506.85,""rodadasPorSegundo"":743333864}",nao,
02-worker-cpu,2,3,400000000,400000000,538.657,742588042.635,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":507.53,""msDaThreadMaisRapida"":506.98,""rodadasPorSegundo"":742588043}",nao,
02-worker-cpu,2,4,400000000,400000000,537.169,744644609.052,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":506.52,""msDaThreadMaisRapida"":505.46,""rodadasPorSegundo"":744644609}",nao,
02-worker-cpu,2,5,400000000,400000000,540.093,740612790.281,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":508.3,""msDaThreadMaisRapida"":507.59,""rodadasPorSegundo"":740612790}",nao,
02-worker-cpu,2,6,400000000,400000000,563.901,709343899.011,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":532.34,""msDaThreadMaisRapida"":530.76,""rodadasPorSegundo"":709343899}",nao,
02-worker-cpu,2,7,400000000,400000000,552.697,723723630.015,0,0,0,0,0,0,0,0,{},"[200000000,200000000]","{""workers"":2,""rodadasPorThread"":200000000,""msDaThreadMaisLenta"":514.47,""msDaThreadMaisRapida"":514.32,""rodadasPorSegundo"":723723630}",nao,
