caso,threads,repeticoes,ms_medio,ms_desvio,throughput_medio,perdido_medio,perdido_desvio,percentual_perdido_medio
01-baseline-sequencial,1,10,98.217,8.321,2051.001,0.000,0.000,0.0000
02-worker-cpu,1,10,1060.470,23.824,377378605.475,0.000,0.000,0.0000
02-worker-cpu,2,10,544.199,8.286,735191981.382,0.000,0.000,0.0000
02-worker-cpu,4,10,317.994,1.973,1257934604.382,0.000,0.000,0.0000
02-worker-cpu,8,10,234.360,24.123,1721316986.383,0.000,0.000,0.0000
02-worker-cpu,10,10,222.888,9.190,1797642091.727,0.000,0.000,0.0000
02-worker-cpu,16,10,263.057,13.361,1524205311.056,0.000,0.000,0.0000
02-worker-cpu,20,10,297.971,13.596,1345171461.984,0.000,0.000,0.0000
03-worker-sab-corrida,1,10,52.700,0.846,303682343.455,0.000,0.000,0.0000
03-worker-sab-corrida,2,10,46.923,0.747,341073486.668,7716080.000,234023.315,48.2255
03-worker-sab-corrida,4,10,40.431,0.704,395852241.289,11694024.700,203498.540,73.0877
03-worker-sab-corrida,8,10,58.670,2.741,273284652.147,7269243.600,1746227.120,45.4328
03-worker-sab-corrida,10,10,75.246,4.494,213396973.319,8928909.600,1745539.969,55.8057
03-worker-sab-corrida,16,10,130.664,11.043,123371795.116,9676902.100,1799575.460,60.4806
03-worker-sab-corrida,20,10,160.481,6.506,99861154.264,10259471.700,1167779.269,64.1217
04-worker-banco,1,10,163.534,4.841,1224.021,0.000,0.000,0.0000
04-worker-banco,2,10,132.515,6.337,1512.393,76.300,16.965,38.1500
04-worker-banco,4,10,138.372,3.987,1446.547,108.800,2.358,54.4000
04-worker-banco,8,10,199.132,15.169,1010.124,130.600,13.040,65.3000
04-worker-banco,10,10,317.546,33.242,637.283,134.200,13.695,67.1000
04-worker-banco,16,10,378.484,47.038,535.563,136.900,14.174,68.4500
04-worker-banco,20,10,441.876,26.985,454.237,132.700,13.900,66.3500
05-worker-leitura-suja,1,10,778.210,17.056,51.424,0.000,0.000,0.0000
05-worker-leitura-suja,2,10,439.960,20.559,91.111,0.000,0.000,0.0000
05-worker-leitura-suja,4,10,299.801,18.538,133.960,0.000,0.000,0.0000
05-worker-leitura-suja,8,10,242.053,10.242,165.537,0.000,0.000,0.0000
05-worker-leitura-suja,10,10,266.803,17.054,150.516,0.000,0.000,0.0000
05-worker-leitura-suja,16,10,381.874,23.687,84.121,0.000,0.000,0.0000
05-worker-leitura-suja,20,10,499.360,53.609,80.861,0.000,0.000,0.0000
06-worker-heisenbug-sem-log,1,10,30.056,0.547,6656456.142,0.000,0.000,0.0000
06-worker-heisenbug-sem-log,2,10,31.752,0.584,6301020.454,57211.600,30970.532,28.6058
06-worker-heisenbug-sem-log,4,10,37.837,0.316,5286141.641,34000.500,17108.382,17.0003
06-worker-heisenbug-sem-log,8,10,61.011,3.796,3289626.564,9811.600,10173.248,4.9058
06-worker-heisenbug-sem-log,10,10,75.409,9.308,2687775.927,14171.500,10376.503,7.0857
06-worker-heisenbug-sem-log,16,10,116.743,5.186,1716554.864,10923.600,11953.923,5.4618
06-worker-heisenbug-sem-log,20,10,146.303,7.143,1370238.478,10440.500,7424.341,5.2203
06-worker-heisenbug-com-log,1,10,276.899,6.134,722634.528,0.000,0.000,0.0000
06-worker-heisenbug-com-log,2,10,248.792,8.516,804794.260,4899.700,855.452,2.4499
06-worker-heisenbug-com-log,4,10,242.670,13.490,826572.617,18414.000,2081.384,9.2070
06-worker-heisenbug-com-log,8,10,236.501,4.462,845964.753,23698.200,4685.926,11.8491
06-worker-heisenbug-com-log,10,10,254.775,9.529,786078.495,25601.100,4623.765,12.8005
06-worker-heisenbug-com-log,16,10,376.757,49.749,540708.014,16440.500,5746.719,8.2203
06-worker-heisenbug-com-log,20,10,313.523,38.228,646187.116,12560.700,6388.448,6.2804
