caso,threads,repeticao,t_ms,total
05-worker-leitura-suja,1,1,0.31,40000
05-worker-leitura-suja,1,1,64.31,39900
05-worker-leitura-suja,1,1,81.63,40000
05-worker-leitura-suja,1,1,82.53,39900
05-worker-leitura-suja,1,1,99.78,40000
05-worker-leitura-suja,1,1,100.7,39900
05-worker-leitura-suja,1,1,117.6,40000
05-worker-leitura-suja,1,1,118.45,39900
05-worker-leitura-suja,1,1,135.29,40000
05-worker-leitura-suja,1,1,136.17,39900
05-worker-leitura-suja,1,1,152.39,40000
05-worker-leitura-suja,1,1,153.15,39900
05-worker-leitura-suja,1,1,169.5,40000
05-worker-leitura-suja,1,1,170.23,39900
05-worker-leitura-suja,1,1,187.53,40000
05-worker-leitura-suja,1,1,188.31,39900
05-worker-leitura-suja,1,1,205.64,40000
05-worker-leitura-suja,1,1,206.38,39900
05-worker-leitura-suja,1,1,223.38,40000
05-worker-leitura-suja,1,1,224.13,39900
05-worker-leitura-suja,1,1,240.4,40000
05-worker-leitura-suja,1,1,241.16,39900
05-worker-leitura-suja,1,1,259.68,40000
05-worker-leitura-suja,1,1,260.43,39900
05-worker-leitura-suja,1,1,277.31,40000
05-worker-leitura-suja,1,1,278.18,39900
05-worker-leitura-suja,1,1,294.36,40000
05-worker-leitura-suja,1,1,295.06,39900
05-worker-leitura-suja,1,1,311.33,40000
05-worker-leitura-suja,1,1,312.2,39900
05-worker-leitura-suja,1,1,328.39,40000
05-worker-leitura-suja,1,1,329.1,39900
05-worker-leitura-suja,1,1,345.37,40000
05-worker-leitura-suja,1,1,345.98,39900
05-worker-leitura-suja,1,1,362.46,40000
05-worker-leitura-suja,1,1,363.21,39900
05-worker-leitura-suja,1,1,380.42,40000
05-worker-leitura-suja,1,1,381.14,39900
05-worker-leitura-suja,1,1,397.45,40000
05-worker-leitura-suja,1,1,398.32,39900
05-worker-leitura-suja,1,1,414.26,40000
05-worker-leitura-suja,1,1,415.24,39900
05-worker-leitura-suja,1,1,431.31,40000
05-worker-leitura-suja,1,1,432.05,39900
05-worker-leitura-suja,1,1,448.33,40000
05-worker-leitura-suja,1,1,449.11,39900
05-worker-leitura-suja,1,1,465.33,40000
05-worker-leitura-suja,1,1,466.04,39900
05-worker-leitura-suja,1,1,482.43,40000
05-worker-leitura-suja,1,1,483.35,39900
05-worker-leitura-suja,1,1,500.3,40000
